"predicted_probability","predictions_point_5","predictions_point_7"
0.0741952319331587,0,0
0.692524593113145,1,0
0.128621603820725,0,0
0.0616825628616433,0,0
0.588186309419823,1,0
0.0151037502639676,0,0
0.960767768438673,1,1
0.889853805022659,1,1
0.0422849767524178,0,0
0.0793794375033229,0,0
0.94412534312316,1,1
0.0645905572298559,0,0
0.849185816524707,1,1
0.986366104240729,1,1
0.983575121474602,1,1
0.978374227844133,1,1
0.528940120203994,1,0
0.978391392753236,1,1
0.99438617815814,1,1
0.172954086274549,0,0
0.856678109608705,1,1
0.995272773619584,1,1
0.047349193923528,0,0
0.440362877852934,0,0
0.30026849484017,0,0
0.64491735240159,1,0
0.653597394514292,1,0
0.260901584411095,0,0
0.955034573429519,1,1
0.971479345062751,1,1
0.957138204630847,1,1
0.935870563418822,1,1
0.963613650699663,1,1
0.390469785777876,0,0
0.955937050929954,1,1
0.0484073753861006,0,0
0.0329260093117041,0,0
0.844982688541564,1,1
0.889467350349279,1,1
0.679673288705407,1,0
0.048536965988648,0,0
0.14427626863946,0,0
0.987214514464808,1,1
0.0562730686858195,0,0
0.782991888492592,1,1
0.696559814369332,1,0
0.0408333973872737,0,0
0.984134164067965,1,1
0.939409260979829,1,1
0.752463993205466,1,1
0.89255312016726,1,1
0.113537869539149,0,0
0.588186309419823,1,0
0.989028722162005,1,1
0.0540977666688425,0,0
0.597442662783249,1,0
0.6120128158515,1,0
0.173905757328563,0,0
0.948254651797339,1,1
0.870720649705218,1,1
0.233338694837596,0,0
0.460671026871145,0,0
0.0642342067444806,0,0
0.0433658483456159,0,0
0.981703777835283,1,1
0.0541785447665136,0,0
0.166211826709241,0,0
0.550379180806553,1,0
0.993260607180211,1,1
0.217937911084593,0,0
0.056458986366407,0,0
0.229057031136775,0,0
0.176756800124297,0,0
0.995866528044771,1,1
0.280531221604163,0,0
0.997920461888699,1,1
0.186097295791154,0,0
0.740843008669988,1,1
0.016959195887225,0,0
0.035915228635683,0,0
0.0559031985133211,0,0
0.913174450631301,1,1
0.468687324571954,0,0
0.691939865022946,1,0
0.0370643400003035,0,0
0.180959578796923,0,0
0.121393140305468,0,0
0.0642342067444806,0,0
0.832384638072912,1,1
0.255352079771117,0,0
0.118817855999362,0,0
0.101556120428932,0,0
0.950001475103005,1,1
0.933366819397768,1,1
0.967908767739766,1,1
0.828265361688368,1,1
0.96266124156453,1,1
0.0655320894523842,0,0
0.949369203138946,1,1
0.811770822894544,1,1
0.935371130496921,1,1
0.948647525116399,1,1
0.877031753997542,1,1
0.7770260806989,1,1
0.526879609501881,1,0
0.255116608344443,0,0
0.588186309419823,1,0
0.871937098176276,1,1
0.926475841442362,1,1
0.507343204925373,1,0
0.182197688948014,0,0
0.0743500104033167,0,0
0.465982795321715,0,0
0.3178329860201,0,0
0.225106825913721,0,0
0.935657470969587,1,1
0.709931153009437,1,1
0.988441460604617,1,1
0.99829978382988,1,1
0.536362322336623,1,0
0.217111040310919,0,0
0.0170550415191673,0,0
0.963877440064618,1,1
0.0266209154138108,0,0
0.71684282385412,1,1
0.706811095489469,1,1
0.0363563372714049,0,0
0.122763844334247,0,0
0.899516837136912,1,1
0.0617084622641847,0,0
0.739687951433195,1,1
0.731124111707359,1,1
0.52379610520911,1,0
0.978609987813657,1,1
0.753498374757355,1,1
0.0141795455501458,0,0
0.013023563041783,0,0
0.994493821504308,1,1
0.460750997220701,0,0
0.0616825628616433,0,0
0.170596009129324,0,0
0.0449575164845287,0,0
0.658857782808735,1,0
0.204162303904616,0,0
0.142750457560615,0,0
0.213592553707747,0,0
0.136581705825003,0,0
0.0741145711569984,0,0
0.0250098663583082,0,0
0.936196476034891,1,1
0.803714344268178,1,1
0.769964681724831,1,1
0.0533046949413691,0,0
0.0309807692664262,0,0
0.567395098809332,1,0
0.997214024913348,1,1
0.0514706284275691,0,0
0.864990344221705,1,1
0.157130190690492,0,0
0.633225124792857,1,0
0.461229386903816,0,0
0.0763768045270423,0,0
0.998911263482787,1,1
0.120186854112777,0,0
0.56279314491869,1,0
0.692014073984579,1,0
0.676223663176233,1,0
0.976454458047786,1,1
0.962184515474009,1,1
0.946448303700589,1,1
0.40012149788001,0,0
0.742061604140223,1,1
0.979388169806363,1,1
0.966085833245649,1,1
0.997822878568373,1,1
0.192184022606125,0,0
0.446167377923123,0,0
0.0326201901247823,0,0
0.98087654471524,1,1
0.0430629884421115,0,0
0.967579551428192,1,1
0.994473692360552,1,1
0.973202197705869,1,1
0.740244378716497,1,1
0.014846491075743,0,0
0.284000506817521,0,0
0.873128487601146,1,1
0.262176199948241,0,0
0.0873855864811285,0,0
0.460509260476048,0,0
0.0899254509769734,0,0
0.927617741767924,1,1
0.0526158303971367,0,0
0.91010927875313,1,1
0.987733195456506,1,1
0.502262690384584,1,0
0.896449557241128,1,1
0.897399083626325,1,1
0.105753748848342,0,0
0.189819635638622,0,0
0.407826152512007,0,0
0.968705147287658,1,1
0.0757986863769013,0,0
0.893688370421979,1,1
0.0265182933912057,0,0
0.992279117651068,1,1
0.243556173639652,0,0
0.240553146185592,0,0
0.990913484969291,1,1
0.974500665042877,1,1
0.667959456975083,1,0
0.867115337651338,1,1
0.101275895646014,0,0
0.144006444261658,0,0
0.188366159708075,0,0
0.0640912411241544,0,0
0.271533933890237,0,0
0.993303073029351,1,1
0.226123272124994,0,0
0.705127570261785,1,1
0.0901940352373628,0,0
0.689700990218428,1,0
